QueryText;QueryNumber
['CIRCUL', 'SECRET', 'FACTOR', 'DESCRIB', 'PATIENT', 'FACTOR', 'UNIDENTIFI', 'BIOLOG', 'ACTIV', 'MOLECUL', 'THOUGHT', 'PLAY', 'PATHOGENET', 'ROLE', 'CYSTIC', 'FIBROSI'];00051
['KNOWN', 'PROLACTIN', 'PATIENT'];00052
['SECRETORI', 'IGA', 'PROTECT', 'PATIENT', 'BACTERI', 'COLON', 'INFECT'];00053
['RELATIONSHIP', 'ALLERGI', 'HYPERSENSIT', 'LUNG', 'DISEAS', 'PATIENT'];00054
['INTERACT', 'PROTEAS', 'ENDOGEN', 'BACTERI', 'ORIGIN', 'ANTIPROTEAS', 'LUNG', 'PATIENT'];00055
['RELATIONSHIP', 'NUTRIT', 'PULMONARI', 'HOST', 'DEFENS', 'BACTERI', 'INFECT', 'PATIENT'];00056
['PATHOPHYSIOLOG', 'ROLE', 'CIRCUL', 'ANTIBODI', 'PSEUDOMONA', 'AERUGINOSA', 'PATIENT'];00057
['IMMUNOLOG', 'RESPONS', 'PULMONARI', 'INFECT', 'PATIENT'];00058
['IMMUNOLOG', 'ABNORM', 'FOUND', 'PATIENT'];00059
['EFFECT', 'PULMONARI', 'CIRCUL'];00060
['DEFECT', 'MUCOCILIARI', 'TRANSPORT', 'CLEARANC', 'RESPIRATORI', 'TRACT', 'PATIENT'];00061
['CLINIC', 'FEATUR', 'LUNG', 'DISEAS', 'PATIENT'];00062
['BIOCHEM', 'MICROSCOP', 'CHARACTERIST', 'AIRWAY', 'INFLAMM', 'PATIENT'];00063
['LUNG', 'FUNCTION', 'CHANG', 'TIME', 'PATIENT', 'TIME', 'PERIOD', 'GREATER', 'DAY'];00064
['ABNORM', 'PULMONARI', 'FUNCTION', 'PATIENT'];00065
['PATHOLOG', 'FEATUR', 'LUNG', 'DISEAS', 'PATIENT'];00066
['PROGNOSI', 'PATIENT', 'EPISOD', 'RESPIRATORI', 'FAILUR'];00067
['EFFECT', 'BRONCHODIL', 'PATIENT'];00068
['BEST', 'WAY', 'TREAT', 'PNEUMOTHORAX', 'PATIENT'];00069
['TREATMENT', 'PROGNOSI', 'HEMOPTYSI', 'PATIENT'];00070
['PROGNOSI', 'INFANT', 'WHEEZ', 'CYSTIC', 'FIBROSI'];00071
['BEST', 'TREATMENT', 'NASAL', 'POLYP', 'PATIENT'];00072
['EFFECT', 'BRONCHIAL', 'LAVAG', 'PATIENT'];00073
['RESULT', 'MECHAN', 'VENTIL', 'PATIENT', 'RESPIRATORI', 'FAILUR'];00074
['BEST', 'TREATMENT', 'PULMONARI', 'HYPERTENS', 'COR', 'PULMONAL', 'PATIENT'];00075
['EFFECT', 'EXERCIS', 'TRAIN', 'PROGRAM', 'LUNG', 'FUNCTION', 'PATIENT'];00076
['TECHNIQU', 'EFFECT', 'PROMOT', 'CLEARANC', 'MUCU', 'LUNG', 'PATIENT'];00077
['SPECIAL', 'CONSIDER', 'TREATMENT', 'PATIENT', 'ANTIBIOT', 'PHARMACODYNAM', 'ANTIBIOT', 'DIFFER', 'PATIENT', 'SPECIAL', 'PROBLEM', 'PECULIAR'];00078
['ROLE', 'ORAL', 'ADMINIST', 'ANTIBIOT', 'TREATMENT', 'PATIENT'];00079
['EVID', 'COMBIN', 'THERAPI', 'AMINOGLYCOSID', 'SEMISYNTHET', 'PENICILLIN', 'EFFECT', 'THERAPI', 'EITHER', 'ALON'];00080
['EFFECT', 'INHAL', 'MUCOLYT', 'AGENT', 'TREATMENT', 'PATIENT'];00081
['ROLE', 'AEROSOL', 'TREATMENT', 'LUNG', 'DISEAS', 'PATIENT'];00082
['ROLE', 'BACTERI', 'PHAGOCYTOSI', 'ALVEOLAR', 'MACROPHAG', 'POLYMORPHONUCLEAR', 'LEUKOCYT', 'LUNG', 'DISEAS', 'PATIENT'];00083
['RELATIONSHIP', 'HAEMOPHILU', 'INFLUENZA', 'PSEUDOMONA', 'AERUGINOSA', 'PATIENT'];00084
['PATIENT', 'EVER', 'DEVELOP', 'INFECT', 'ORGAN', 'LUNG', 'ORGAN'];00085
['ROLE', 'BACTERIA', 'PSEUDOMONA', 'AERUGINOSA', 'STAPHYLOCOCCU', 'AUREU', 'HAEMOPHILU', 'INFLUENZA', 'PATHOGENESI', 'LUNG', 'DISEAS', 'PATIENT'];00086
['ROLE', 'FUNGI', 'PATHOGENESI', 'LUNG', 'DISEAS', 'PATIENT'];00087
['ROLE', 'VIRAL', 'INFECT', 'LUNG', 'DISEAS', 'PATIENT'];00088
['EPIDEMIOLOG', 'PSEUDOMONA', 'AERUGINOSA', 'PATIENT', 'SPECIF', 'PATIENT', 'SPREAD', 'PSEUDOMONA', 'AERUGINOSA', 'PATIENT', 'INDIVIDU', 'FAMILI'];00089
['FACTOR', 'RESPONS', 'APPEAR', 'MUCOID', 'STRAIN', 'PSEUDOMONA', 'AERUGINOSA', 'PATIENT'];00090
['UNUSU', 'MANIFEST', 'LUNG', 'DISEAS', 'EXOCRIN', 'PANCREAT', 'INSUFFICI'];00091
['PROGNOSI', 'SURVIV', 'PATIENT'];00092
['ANIM', 'MODEL', 'AVAIL', 'RELEV'];00094
['ABNORM', 'SKELET', 'MUSCL', 'FUNCTION', 'STRUCTUR', 'FOUND', 'PATIENT'];00095
['INCREAS', 'INCID', 'DENTAL', 'PROBLEM', 'CARI', 'PERIODONT', 'DISEAS', 'PATIENT'];00096
['OXYGEN', 'TRANSPORT', 'RED', 'BLOOD', 'CELL', 'ABNORM', 'PATIENT'];00097
['EFFECT', 'DEVELOP', 'FUNCTION', 'BRAIN', 'CENTRAL', 'NERVOU', 'SYSTEM'];00098
['ABNORM', 'TAST', 'PATIENT'];00099
['INCID', 'TREATMENT', 'HYPERTROPH', 'OSTEOARTHROPATHI', 'PATIENT'];00100
