;QueryText;QueryNumber
45;"WHAT ARE THE PROPERTIES AND ACTIVITY OF GALACTOSYLTRANSFERASE ENZYMES
   FROM CF PATIENTS?
";00046
46;"WHAT DIFFERENCES BETWEEN NORMAL SUBJECTS AND CF PATIENTS HAVE BEEN
   DESCRIBED IN THE FUNCTION OR METABOLISM OF HORMONES?
";00047
47;"DO FIBROBLASTS FROM CF PATIENTS GROW AT A NORMAL RATE?
";00048
48;"IS RNA METHYLATION OR POLYAMINE METABOLISM NORMAL IN CF PATIENTS?
";00049
49;"WHAT DEFECTS IN THE SYNTHESIS OR METABOLISM OF CYCLIC NUCLEOTIDES HAVE
   BEEN DESCRIBED IN CF PATIENTS?
";00050
50;"WHAT CIRCULATING OR SECRETED ""FACTORS"" HAVE BEEN DESCRIBED IN CF
   PATIENTS? (""FACTORS"" ARE UNIDENTIFIED BIOLOGICALLY ACTIVE MOLECULES
   THOUGHT TO PLAY SOME PATHOGENETIC ROLE IN CYSTIC FIBROSIS).
";00051
51;"WHAT IS KNOWN ABOUT PROLACTIN IN CF PATIENTS?
";00052
52;"DOES SECRETORY IGA PROTECT CF PATIENTS AGAINST BACTERIAL COLONIZATION
   OR INFECTION?
";00053
53;"WHAT IS THE RELATIONSHIP OF ALLERGY OR HYPERSENSITIVITY TO LUNG DISEASE
   IN CF PATIENTS?
";00054
54;"WHAT ARE THE INTERACTIONS BETWEEN PROTEASES (ENDOGENOUS OR BACTERIAL
   ORIGIN) AND ANTIPROTEASES IN THE LUNGS OF CF PATIENTS?
";00055
55;"WHAT IS THE RELATIONSHIP BETWEEN NUTRITION AND PULMONARY HOST DEFENSES
   AGAINST BACTERIAL INFECTION IN CF PATIENTS?
";00056
56;"WHAT IS THE PATHOPHYSIOLOGIC ROLE OF CIRCULATING ANTIBODIES TO
   PSEUDOMONAS AERUGINOSA IN CF PATIENTS?
";00057
57;"WHAT IS THE IMMUNOLOGIC RESPONSE TO PULMONARY INFECTION IN CF PATIENTS?
";00058
58;"WHAT IMMUNOLOGIC ABNORMALITIES HAVE BEEN FOUND IN CF PATIENTS?
";00059
59;"WHAT ARE THE EFFECTS OF CF ON THE PULMONARY CIRCULATION?
";00060
60;"IS THERE A DEFECT IN MUCOCILIARY TRANSPORT (CLEARANCE) IN THE
   RESPIRATORY TRACT OF CF PATIENTS?
";00061
61;"WHAT ARE THE CLINICAL FEATURES OF LUNG DISEASE IN CF PATIENTS?
";00062
62;"WHAT ARE THE BIOCHEMICAL OR MICROSCOPIC CHARACTERISTICS OF AIRWAY
   INFLAMMATION IN CF PATIENTS?
";00063
63;"HOW DOES LUNG FUNCTION CHANGE WITH TIME IN CF PATIENTS? (TIME PERIODS
   GREATER THAN A DAY)
";00064
64;"WHAT ARE THE ABNORMALITIES OF PULMONARY FUNCTION IN CF PATIENTS?
";00065
65;"WHAT ARE THE PATHOLOGIC FEATURES OF LUNG DISEASE IN CF PATIENTS?
";00066
66;"WHAT IS THE PROGNOSIS FOR PATIENTS WHO HAVE HAD AN EPISODE OF
   RESPIRATORY FAILURE?
";00067
67;"WHAT ARE THE EFFECTS OF BRONCHODILATORS IN CF PATIENTS?
";00068
68;"WHAT IS THE BEST WAY TO TREAT PNEUMOTHORAX IN CF PATIENTS?
";00069
69;"WHAT IS THE TREATMENT FOR AND PROGNOSIS OF HEMOPTYSIS IN CF PATIENTS?
";00070
70;"WHAT IS THE PROGNOSIS FOR INFANTS WITH WHEEZING AND CYSTIC FIBROSIS?
";00071
71;"WHAT IS THE BEST TREATMENT FOR NASAL POLYPS IN CF PATIENTS?
";00072
72;"HOW EFFECTIVE IS BRONCHIAL LAVAGE IN CF PATIENTS?
";00073
73;"WHAT ARE THE RESULTS OF MECHANICAL VENTILATION IN CF PATIENTS WITH
   RESPIRATORY FAILURE?
";00074
74;"WHAT IS THE BEST TREATMENT FOR PULMONARY HYPERTENSION AND/OR COR
   PULMONALE IN CF PATIENTS?
";00075
75;"WHAT ARE THE EFFECTS OF EXERCISE TRAINING PROGRAMS ON LUNG FUNCTION IN
   CF PATIENTS?
";00076
76;"WHAT TECHNIQUES ARE EFFECTIVE IN PROMOTING CLEARANCE OF MUCUS FROM THE
   LUNGS OF CF PATIENTS?
";00077
77;"WHAT SPECIAL CONSIDERATIONS ARE THERE FOR TREATMENT OF CF PATIENTS WITH
   ANTIBIOTICS (IE, ARE THE PHARMACODYNAMICS OF ANTIBIOTICS DIFFERENT IN
   CF PATIENTS, OR ARE THERE OTHER SPECIAL PROBLEMS PECULIAR TO CF)?
";00078
78;"WHAT IS THE ROLE OF ORALLY ADMINISTERED ANTIBIOTICS IN THE TREATMENT OF
   CF PATIENTS?
";00079
79;"WHAT IS THE EVIDENCE THAT COMBINATION THERAPY WITH AMINOGLYCOSIDES AND
   SEMISYNTHETIC PENICILLINS IS MORE EFFECTIVE THAN THERAPY WITH EITHER
   ALONE?
";00080
80;"HOW EFFECTIVE ARE INHALATIONS OF MUCOLYTIC AGENTS IN THE TREATMENT OF
   CF PATIENTS?
";00081
81;"WHAT IS THE ROLE OF AEROSOLS IN THE TREATMENT OF LUNG DISEASE IN CF
   PATIENTS?
";00082
82;"WHAT IS THE ROLE OF BACTERIAL PHAGOCYTOSIS (BY ALVEOLAR MACROPHAGES OR
   POLYMORPHONUCLEAR LEUKOCYTES) IN LUNG DISEASE IN CF PATIENTS?
";00083
83;"WHAT IS THE RELATIONSHIP BETWEEN HAEMOPHILUS INFLUENZAE AND PSEUDOMONAS
   AERUGINOSA IN CF PATIENTS?
";00084
84;"DO CF PATIENTS EVER DEVELOP INFECTION IN ORGANS OTHER THAN THE LUNG? IF
   SO, IN WHAT ORGANS?
";00085
85;"WHAT IS THE ROLE OF BACTERIA OTHER THAN PSEUDOMONAS AERUGINOSA,
   STAPHYLOCOCCUS AUREUS, OR HAEMOPHILUS INFLUENZAE IN THE PATHOGENESIS
   OF LUNG DISEASE IN CF PATIENTS?
";00086
86;"WHAT IS THE ROLE OF FUNGI IN THE PATHOGENESIS OF LUNG DISEASE IN CF
   PATIENTS?
";00087
87;"WHAT IS THE ROLE OF VIRAL INFECTION IN THE LUNG DISEASE OF CF PATIENTS?
";00088
88;"WHAT IS THE EPIDEMIOLOGY OF PSEUDOMONAS AERUGINOSA IN CF PATIENTS?
   SPECIFICALLY, DO CF PATIENTS SPREAD PSEUDOMONAS AERUGINOSA TO OTHER
   PATIENTS OR TO OTHER INDIVIDUALS (FAMILY)?
";00089
89;"WHAT FACTORS ARE RESPONSIBLE FOR THE APPEARANCE OF MUCOID STRAINS OF
   PSEUDOMONAS AERUGINOSA IN CF PATIENTS?
";00090
90;"WHAT ARE THE UNUSUAL MANIFESTATIONS OF CF (OTHER THAN LUNG DISEASE OR
   EXOCRINE PANCREATIC INSUFFICIENCY)?
";00091
91;"WHAT IS THE PROGNOSIS FOR SURVIVAL OF PATIENTS WITH CF?
";00092
92;"WHAT ANIMAL MODELS ARE AVAILABLE WHICH ARE RELEVANT TO CF?
";00094
93;"WHAT ABNORMALITIES OF SKELETAL MUSCLE FUNCTION OR STRUCTURE HAVE BEEN
   FOUND IN CF PATIENTS?
";00095
94;"IS THERE AN INCREASED INCIDENCE OF DENTAL PROBLEMS (EG, CARIES OR
   PERIODONTAL DISEASE) IN CF PATIENTS?
";00096
95;"IS OXYGEN TRANSPORT BY RED BLOOD CELLS ABNORMAL IN CF PATIENTS?
";00097
96;"WHAT ARE THE EFFECTS OF CF ON THE DEVELOPMENT AND/OR FUNCTION OF THE
   BRAIN AND CENTRAL NERVOUS SYSTEM?
";00098
97;"ARE THERE ABNORMALITIES OF TASTE IN CF PATIENTS?
";00099
98;"WHAT IS THE INCIDENCE OF AND TREATMENT FOR HYPERTROPHIC
   OSTEOARTHROPATHY IN CF PATIENTS?
";00100
